feature1,Rv0013,Rv0042c,Rv0058--Rv3274c,Rv0105c,Rv0132c,Rv0156,Rv0157,Rv0171,Rv0173,Rv0247c,Rv0254c,Rv0276,Rv0285,Rv0286,Rv0388c,Rv0397,Rv0418,Rv0429c,Rv0431,Rv0433,Rv0554,Rv0821c,Rv0839,Rv0934,Rv0935,Rv0956,Rv1013,Rv1025,Rv1070c--Rv1260,Rv1098c,Rv1168c,Rv1190,Rv1276c,Rv1450c,Rv1473,Rv1512,Rv1577c,Rv1601,Rv1621c,Rv1622c,Rv1658,Rv1747,Rv1751,Rv1759c,Rv1854c,Rv1992c,Rv2056c,Rv2137c,Rv2156c,Rv2159c,Rv2160A,Rv2160c,Rv2161c,Rv2163c--Rv2497c,Rv2258c,Rv2259,Rv2377c,Rv2464c,Rv2484c--Rv3536c,Rv2490c,Rv2495c,Rv2496c,Rv2499c,Rv2523c,Rv2546,Rv2558,Rv2633c,Rv2780,Rv2781c,Rv2837c,Rv2914c,Rv2928,Rv2937,Rv2993c,Rv3030,Rv3083,Rv3087,Rv3160c,Rv3211,Rv3224B,Rv3244c,Rv3245c,Rv3271c,Rv3290c,Rv3291c,Rv3334,Rv3343c,Rv3345c,Rv3370c,Rv3371,Rv3613c,Rv3614c,Rv3615c,Rv3616c,Rv3677c,Rv3752c,Rv3805c,Rv3843c,Rv3860,Rvns02
Rv1992c,-0.0566666666666667,-0.023333333333333373,-0.10416666666666669,0.012500000000000011,0.0,-0.1141666666666667,0.0,-0.10416666666666669,-0.1141666666666667,-0.016666666666666663,0.0,-0.10583333333333333,0.0,-0.07666666666666666,0.0,0.0,-0.07916666666666666,-0.02583333333333332,-0.1141666666666667,-0.05833333333333335,-0.0566666666666667,-0.0008333333333333526,-0.1141666666666667,-0.10916666666666669,-0.0616666666666667,-0.10416666666666669,-0.051666666666666694,-0.034999999999999976,0.0,-0.02083333333333337,-0.10833333333333334,0.0,-0.023333333333333373,0.0,-0.054166666666666696,0.0,-0.08833333333333332,-0.08333333333333337,-0.01416666666666666,-0.021666666666666667,-0.07083333333333336,0.0,-0.01416666666666666,0.0,-0.10749999999999998,0.0,0.0,0.0058333333333333015,0.0,-0.11083333333333334,0.0,0.0,0.0,-0.020833333333333315,-0.02083333333333337,-0.03833333333333333,0.0,-0.020833333333333315,-0.08000000000000002,0.0,-0.11083333333333334,-0.08583333333333337,-0.10583333333333333,-0.033333333333333326,0.0,-0.013333333333333364,-0.04916666666666669,-0.0675,0.0,-0.051666666666666694,-0.023333333333333373,0.0,-0.08333333333333337,-0.08000000000000002,-0.05249999999999999,-0.07833333333333337,0.0,-0.04749999999999999,0.010833333333333306,-0.05416666666666664,-0.08250000000000002,0.0,-0.040000000000000036,-0.060833333333333295,0.0,-0.07416666666666666,0.0,0.0,0.0,-0.10583333333333333,0.0,-0.04916666666666669,-0.03999999999999998,-0.05166666666666664,-0.0566666666666667,0.0,-0.03416666666666668,-0.08083333333333337,-0.023333333333333373,-0.023333333333333373
Rv2056c,0.0,-0.04833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04833333333333334,0.15416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043333333333333335,-0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,-0.053333333333333344,0.0,-0.05083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057499999999999996,0.0,-0.008333333333333304,-0.03333333333333338,-0.08000000000000002,0.0,-0.03250000000000003,0.0,0.0,0.0,0.0033333333333332993,0.0,0.0,0.1358333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333317,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326
Rv2137c,0.06166666666666665,-0.07583333333333336,0.0,0.0,0.0,-0.007500000000000007,0.0,0.0,-0.034999999999999976,-0.09833333333333333,0.0,-0.0025000000000000022,0.0,-0.030000000000000027,0.0,0.0,-0.02999999999999997,0.0,-0.036666666666666625,-0.10416666666666663,-0.10249999999999998,-0.0033333333333332993,0.0,-0.05833333333333329,-0.07916666666666666,-0.0016666666666666496,-0.04583333333333334,-0.09333333333333332,0.0,0.0,-0.004166666666666652,0.0,0.0,0.0,0.0,0.0,-0.06583333333333335,-0.015833333333333366,-0.09666666666666668,-0.04999999999999999,0.0,0.0,-0.07999999999999996,0.0,-0.004166666666666652,0.0058333333333333015,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,0.0,0.0,0.053333333333333344,0.06416666666666665,0.06,-0.09166666666666667,0.0,-0.07833333333333331,-0.07333333333333336,-0.1225,0.0,-0.04833333333333334,0.0,0.0,-0.02749999999999997,-0.08333333333333337,-0.07666666666666666,-0.11166666666666669,0.02250000000000002,0.0,0.0,-0.125,0.08333333333333337,0.0,-0.10333333333333333,-0.1275,0.0,-0.007500000000000007,0.0,0.0,0.0,-0.0025000000000000022,0.0,0.0,-0.10249999999999998,0.0,-0.08250000000000002,0.0,-0.10083333333333333,0.0,0.0,-0.07
Rv2156c,-0.08333333333333337,-0.11249999999999999,-0.034999999999999976,0.0,0.0,-0.023333333333333373,0.0,-0.034999999999999976,-0.023333333333333317,-0.13666666666666666,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.065,0.0,-0.024166666666666614,-0.10749999999999998,-0.10249999999999998,-0.05083333333333334,-0.023333333333333317,-0.05833333333333329,-0.07916666666666666,-0.034999999999999976,-0.08666666666666667,-0.13249999999999995,0.0,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,-0.13,-0.08000000000000002,-0.13416666666666666,0.0,0.0,-0.030000000000000027,-0.11499999999999999,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.02916666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05083333333333334,-0.13166666666666665,0.0,-0.11333333333333334,-0.11500000000000005,-0.15916666666666668,0.0,-0.08083333333333331,0.0,0.0,-0.05666666666666664,-0.1166666666666667,0.0,0.0,0.0033333333333332993,0.0,-0.034999999999999976,-0.15499999999999997,0.05083333333333334,-0.030000000000000027,-0.13666666666666666,-0.16083333333333333,0.0,0.05083333333333334,0.0,0.0,0.0,-0.034999999999999976,0.0,0.0,-0.1358333333333333,0.0,-0.08250000000000002,0.0,-0.13416666666666666,0.0,0.0,-0.11249999999999999
Rv2159c,-0.05499999999999999,-0.08750000000000002,-0.04999999999999999,0.0,0.0,-0.034999999999999976,-0.02916666666666662,-0.006666666666666654,-0.0058333333333333015,-0.10916666666666669,0.0,-0.034999999999999976,0.0,-0.03750000000000003,0.0,0.0,-0.03749999999999998,0.0,-0.030833333333333324,-0.07999999999999996,-0.07499999999999996,-0.06166666666666665,-0.04999999999999999,-0.030833333333333324,-0.04999999999999999,-0.03666666666666668,-0.08666666666666667,-0.10416666666666663,-0.02916666666666662,0.0,-0.03666666666666668,0.0,0.0,0.0,-0.0016666666666667052,0.0,-0.10250000000000004,-0.05249999999999999,-0.10833333333333334,0.0,0.0,-0.02916666666666662,-0.08666666666666667,0.0,-0.03666666666666668,-0.11083333333333334,0.0,-0.0016666666666666496,-0.02916666666666662,0.0,-0.02916666666666662,-0.02916666666666662,-0.02916666666666662,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.05249999999999999,-0.04999999999999999,-0.10249999999999998,0.0,-0.08416666666666667,-0.08583333333333337,-0.13333333333333336,0.0,-0.08166666666666667,0.0,-0.02916666666666662,-0.057499999999999996,-0.08916666666666667,-0.0016666666666667052,-0.0008333333333333526,-0.0016666666666666496,0.0,-0.04999999999999999,-0.12666666666666665,-0.0016666666666666496,-0.05833333333333329,0.0016666666666666496,-0.1333333333333333,0.0,-0.06416666666666665,0.0,-0.020833333333333315,0.0,-0.034999999999999976,0.0,0.0,-0.10666666666666669,-0.0016666666666666496,-0.053333333333333344,0.0,-0.10666666666666663,-0.0016666666666667052,0.0,-0.08416666666666667
Rv2160A,-0.08333333333333337,-0.11249999999999999,-0.034999999999999976,0.0,0.0,-0.023333333333333373,0.0,0.0,0.0,-0.13666666666666666,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,-0.024166666666666614,-0.10749999999999998,-0.10249999999999998,-0.05083333333333334,-0.023333333333333317,0.0,-0.07916666666666666,-0.034999999999999976,-0.08666666666666667,-0.13249999999999995,0.0,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,-0.13,-0.08000000000000002,-0.13416666666666666,0.0,0.0,-0.030000000000000027,-0.11499999999999999,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.02916666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05083333333333334,-0.13166666666666665,0.0,-0.11333333333333334,-0.11500000000000005,-0.15916666666666668,0.0,-0.08083333333333331,0.0,0.0,-0.05666666666666664,-0.1166666666666667,0.0,0.0,0.0033333333333332993,0.0,-0.034999999999999976,-0.15499999999999997,0.05083333333333334,-0.030000000000000027,-0.13666666666666666,-0.16083333333333333,0.0,0.05083333333333334,0.0,0.0,0.0,-0.034999999999999976,0.0,0.0,-0.1358333333333333,0.0,-0.08250000000000002,0.0,-0.13416666666666666,0.0,0.0,-0.11249999999999999
Rv2160c,-0.08333333333333337,-0.11249999999999999,-0.034999999999999976,0.0,0.0,-0.023333333333333373,0.0,0.0,0.0,-0.13666666666666666,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,-0.024166666666666614,-0.10749999999999998,-0.10249999999999998,-0.05083333333333334,-0.023333333333333317,0.0,0.0,-0.034999999999999976,-0.08666666666666667,-0.13249999999999995,0.0,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,-0.13,-0.08000000000000002,-0.13416666666666666,0.0,0.0,-0.030000000000000027,-0.11499999999999999,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.02916666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05083333333333334,-0.13166666666666665,0.0,-0.11333333333333334,-0.11500000000000005,-0.15916666666666668,0.0,-0.08083333333333331,0.0,0.0,-0.05666666666666664,-0.1166666666666667,0.0,0.0,0.022499999999999964,0.0,-0.034999999999999976,-0.15499999999999997,0.05083333333333334,-0.030000000000000027,0.0033333333333332993,-0.16083333333333333,0.0,0.05083333333333334,0.0,0.0,0.0,-0.034999999999999976,0.0,0.0,-0.10083333333333333,0.0,-0.08250000000000002,0.0,-0.13416666666666666,0.0,0.0,-0.11249999999999999
Rv2161c,-0.08333333333333337,-0.11249999999999999,-0.034999999999999976,0.0,0.0,-0.023333333333333373,0.0,-0.034999999999999976,-0.011666666666666659,-0.13666666666666666,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.065,0.0,-0.024166666666666614,-0.10749999999999998,-0.10249999999999998,-0.05083333333333334,-0.023333333333333317,-0.05833333333333329,-0.07916666666666666,-0.034999999999999976,-0.08666666666666667,-0.13249999999999995,0.0,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,0.0,-0.13,-0.08000000000000002,-0.13416666666666666,0.0,0.0,-0.030000000000000027,-0.11499999999999999,0.0,-0.034999999999999976,0.0,0.0,0.0,0.0,-0.02916666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05083333333333334,-0.13166666666666665,0.0,-0.11333333333333334,-0.11500000000000005,-0.15916666666666668,0.0,-0.08083333333333331,0.0,0.0,-0.05666666666666664,-0.1166666666666667,0.0,0.0,0.0033333333333332993,0.0,-0.034999999999999976,-0.15499999999999997,0.05083333333333334,-0.030000000000000027,-0.13666666666666666,-0.16083333333333333,0.0,0.05083333333333334,0.0,0.0,0.0,-0.034999999999999976,0.0,0.0,-0.1358333333333333,0.0,-0.08250000000000002,0.0,-0.13416666666666666,0.0,0.0,-0.11249999999999999
Rv2163c--Rv2497c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010833333333333361,-0.007500000000000007,0.0,-0.004166666666666707,0.0,0.0,0.0,-0.0025000000000000022,-0.04999999999999999,-0.0016666666666666496,0.0,-0.0033333333333332993,-0.004166666666666652,0.0,-0.0016666666666666496,0.0,0.0,0.0,-0.01416666666666666,0.0,-0.004166666666666707,0.0,0.0,0.0,0.0,0.0,-0.004166666666666707,-0.0050000000000000044,0.0,-0.00833333333333336,0.0,-0.05499999999999999,0.0,0.0,0.0,0.0,-0.020833333333333315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999997,-0.021666666666666667,-0.03083333333333338,0.0,-0.05583333333333329,0.0,0.0,0.0,0.0,-0.012500000000000011,0.0,0.0,0.0,-0.03750000000000003,-0.004166666666666707,0.0,0.0,0.0,0.0,-0.0033333333333332993,-0.02999999999999997,-0.04916666666666669,-0.0016666666666666496,-0.031666666666666676,0.0,-0.03666666666666668,0.0,0.0,-0.018333333333333368,-0.043333333333333335,-0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.02833333333333332,-0.017500000000000016,-0.03583333333333333,0.0,0.0,-0.012500000000000011,-0.059166666666666645,0.0,0.0
Rv2258c,-0.0058333333333333015,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,-0.003333333333333355,0.053333333333333344,-0.0016666666666666496,-0.009166666666666656,-0.006666666666666654,-0.004166666666666652,0.0,-0.0016666666666666496,0.0,0.0,0.0,-0.03999999999999998,0.0,-0.029166666666666674,0.0,0.0,0.0,0.0,0.0,0.0,-0.005833333333333357,0.0,-0.03416666666666668,-0.02833333333333332,-0.07833333333333337,0.0,-0.020833333333333315,0.0,0.0,-0.02083333333333337,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,-0.02999999999999997,0.0,-0.029166666666666674,0.0,-0.02416666666666667,0.0,0.0,0.0,-0.004166666666666652,0.0,-0.03833333333333333,0.0,-0.019166666666666665,0.0,-0.06333333333333335,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,-0.020000000000000018,-0.08333333333333337,-0.0016666666666666496,-0.057499999999999996,0.0,-0.0625,0.0,0.0,-0.04416666666666669,-0.06916666666666665,-0.057499999999999996,-0.008333333333333304,0.0,0.0,0.0,0.0,0.0,-0.05833333333333335,-0.043333333333333335,-0.026666666666666616,0.0,0.0,-0.03833333333333333,0.0,0.0,-0.016666666666666663
Rv2259,0.0,-0.011666666666666659,0.0,0.0,0.0,-0.005833333333333357,0.0,-0.05833333333333335,0.0,-0.033333333333333326,0.0,-0.0008333333333333526,0.0,0.0,0.0,0.0,-0.029166666666666674,-0.030833333333333324,-0.0016666666666667052,-0.04083333333333333,-0.03833333333333333,-0.003333333333333355,0.0,-0.06583333333333335,-0.03500000000000003,0.0,-0.029166666666666674,-0.036666666666666625,0.0,-0.02416666666666667,-0.0016666666666667052,0.0,0.0,0.0,-0.05833333333333335,-0.0008333333333333526,-0.007500000000000007,-0.0008333333333333526,-0.030833333333333324,-0.02416666666666667,-0.07333333333333336,0.0,-0.01749999999999996,0.0,-0.0008333333333333526,-0.03833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021666666666666667,-0.029166666666666674,0.0,0.0,-0.02416666666666667,-0.03500000000000003,0.0,0.0,-0.06583333333333335,0.0,-0.034999999999999976,0.0,-0.01583333333333331,0.0,-0.06,-0.0008333333333333526,-0.0008333333333333526,0.0,0.0,-0.005833333333333357,-0.04916666666666669,-0.05083333333333334,-0.0566666666666667,-0.0016666666666667052,-0.04916666666666669,0.0,-0.059166666666666645,0.0,0.0,-0.04083333333333333,-0.0658333333333333,-0.0008333333333333526,-0.0016666666666667052,0.0,0.0,0.0,-0.0008333333333333526,0.0,-0.04999999999999999,-0.03999999999999998,-0.049166666666666636,-0.03500000000000003,0.0,-0.034999999999999976,-0.05833333333333335,0.0,-0.013333333333333308
Rv2377c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029166666666666674,0.0,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,-0.026666666666666672,-0.02083333333333337,0.0,-0.027500000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03083333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,-0.026666666666666672,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,-0.023333333333333373,0.0,0.0,0.0,-0.0058333333333333015,0.0,0.0,0.0,-0.012499999999999956,-0.029166666666666674,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,-0.0025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0
Rv2464c,0.0,-0.020833333333333315,0.0,0.0,0.0,-0.004166666666666652,0.0,-0.08000000000000002,-0.09333333333333332,-0.012500000000000011,-0.0016666666666666496,-0.0008333333333333526,0.0,-0.05249999999999999,0.0,0.0,-0.05249999999999999,-0.04999999999999999,-0.0016666666666666496,-0.05499999999999999,-0.03416666666666668,-0.004166666666666652,0.0,-0.08583333333333332,-0.03416666666666668,0.0,-0.02999999999999997,-0.01583333333333331,0.0,0.0,-0.0025000000000000022,0.0,0.0,0.0,-0.08000000000000002,0.0,-0.06333333333333335,0.0,-0.010000000000000009,-0.003333333333333355,-0.05083333333333334,0.0,0.0,0.0,0.0,-0.020833333333333315,0.0,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.02416666666666667,-0.02416666666666667,0.0,0.0,-0.05499999999999999,0.0,-0.09333333333333332,-0.06333333333333335,0.0,-0.01416666666666666,0.0,0.0,-0.029166666666666674,-0.03916666666666668,0.0,0.0,0.0,0.0,-0.003333333333333355,-0.053333333333333344,-0.03416666666666668,-0.0566666666666667,0.02833333333333332,-0.027500000000000024,0.0,-0.03833333333333333,-0.08333333333333331,0.0,-0.020000000000000018,-0.043333333333333335,0.0,-0.0025000000000000022,0.0,-0.020000000000000018,0.0,-0.0008333333333333526,0.0,-0.02833333333333332,-0.019166666666666665,-0.03583333333333333,-0.03416666666666668,0.0,-0.01416666666666666,-0.059166666666666645,0.0,0.0
Rv2484c--Rv3536c,0.0,-0.043333333333333335,0.0,0.0,0.0,-0.005833333333333357,0.0,0.0,0.0,-0.065,0.0,-0.0025000000000000022,0.0,-0.0050000000000000044,0.0,0.0,-0.034999999999999976,0.0,-0.0016666666666666496,-0.03749999999999998,-0.034999999999999976,-0.003333333333333355,0.0,-0.031666666666666676,-0.016666666666666663,-0.0016666666666666496,-0.022499999999999964,-0.0683333333333333,0.0,-0.05833333333333335,-0.004166666666666652,0.0,0.0,0.0,0.06,0.0,-0.03500000000000003,0.0,-0.0625,-0.05499999999999999,-0.10583333333333333,0.0,-0.049166666666666636,0.0,-0.004166666666666652,-0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05583333333333329,0.0,-0.03500000000000003,0.0,-0.05499999999999999,0.0,0.0,0.0,-0.030833333333333324,0.0,-0.06666666666666665,0.0,-0.05166666666666664,-0.020000000000000018,-0.09166666666666667,0.0,-0.004166666666666652,0.0,0.0,-0.004166666666666652,-0.08833333333333337,-0.08250000000000002,-0.08583333333333337,-0.0016666666666666496,-0.08333333333333331,0.0,-0.09083333333333332,0.0,0.0,-0.07250000000000001,-0.09749999999999998,0.0,-0.007500000000000007,0.0,0.0,0.0,-0.0025000000000000022,0.0,-0.011666666666666659,-0.07500000000000001,-0.08249999999999996,-0.017500000000000016,0.0,-0.06666666666666665,0.05833333333333335,0.0,-0.044999999999999984
Rv2490c,-0.026666666666666672,-0.04583333333333334,0.0,-0.0008333333333333248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04583333333333334,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,-0.07166666666666666,-0.0658333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04083333333333333,-0.011666666666666659,0.0,0.0,0.0,0.0,-0.0708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0683333333333333,0.0,-0.0683333333333333,-0.04250000000000004,-0.065,0.0,-0.013333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.07166666666666666,0.0,0.0,0.0,0.0,0.0,-0.0675,-0.06916666666666665,0.0,0.0,0.0,0.0,-0.0008333333333333248,0.0,0.0,0.0,-0.0683333333333333,0.0,-0.07250000000000001,0.0,-0.0683333333333333,0.0,0.0,-0.0708333333333333
Rv2495c,-0.03500000000000003,-0.10833333333333334,0.06416666666666665,0.0,0.0,-0.005833333333333357,0.0,0.053333333333333344,-0.030000000000000027,-0.10083333333333333,0.0,-0.010833333333333306,0.0,0.053333333333333344,0.0,0.0,0.053333333333333344,0.053333333333333344,-0.0016666666666667052,-0.10416666666666663,-0.0708333333333333,-0.03416666666666668,0.0,0.053333333333333344,-0.05833333333333335,-0.010833333333333361,-0.05666666666666664,-0.10416666666666663,0.0,0.0,-0.010833333333333306,0.0,0.0,0.0,0.05333333333333329,0.0,-0.07,-0.02416666666666667,-0.09833333333333333,-0.09166666666666667,0.0,0.0,-0.09166666666666662,0.0,-0.010833333333333306,-0.11083333333333334,0.0,0.053333333333333344,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09333333333333332,0.0,0.0,0.0,-0.02999999999999997,0.0,-0.10249999999999998,0.0,-0.09333333333333332,-0.0625,-0.1275,0.0,-0.06166666666666665,0.0,0.0,-0.010000000000000009,0.053333333333333344,-0.09083333333333332,0.0,-0.0016666666666667052,0.0,0.06416666666666665,-0.13666666666666666,-0.02999999999999997,-0.023333333333333317,-0.1175,-0.1433333333333333,0.0,-0.01749999999999996,0.0,0.0,0.0,-0.010833333333333306,0.0,0.0,-0.11833333333333335,0.0,-0.053333333333333344,0.0,-0.11499999999999999,0.0,0.0,-0.08083333333333331
Rv2496c,-0.05083333333333334,-0.07416666666666666,0.06416666666666665,0.0,0.0,-0.06416666666666665,0.0,0.06416666666666665,-0.059166666666666645,-0.07500000000000001,-0.007500000000000007,-0.0025000000000000022,0.0,-0.0625,0.0,0.0,-0.065,-0.0008333333333333526,-0.0016666666666666496,-0.0683333333333333,-0.044999999999999984,-0.06333333333333335,0.0,-0.05833333333333329,-0.029166666666666674,-0.0016666666666666496,-0.0625,-0.07833333333333331,0.0,0.0,-0.004166666666666652,0.0,0.0,0.0,0.07916666666666666,0.0,-0.04416666666666669,0.0,-0.07250000000000001,-0.0625,0.0,-0.04999999999999999,-0.06749999999999995,0.0,-0.08000000000000002,-0.08583333333333337,0.0,0.06416666666666665,0.0,-0.05249999999999999,0.0,0.0,0.0,0.0,-0.004166666666666652,-0.06583333333333335,0.0,-0.06333333333333335,-0.030833333333333324,0.0,-0.02999999999999997,0.0,-0.041666666666666685,-0.07666666666666666,0.0,-0.06416666666666665,-0.030000000000000027,-0.10166666666666668,0.0,-0.05833333333333335,0.0,0.0,-0.003333333333333355,-0.1175,-0.09083333333333332,-0.1166666666666667,-0.0016666666666666496,0.0,0.06416666666666665,-0.10749999999999998,-0.020833333333333315,-0.05083333333333334,-0.08916666666666667,-0.11499999999999999,0.0,-0.049166666666666636,0.0,0.0,0.0,-0.0025000000000000022,0.0,0.0,-0.08833333333333332,-0.004166666666666652,-0.027500000000000024,0.0,-0.08666666666666667,-0.003333333333333355,0.0,-0.05499999999999999
Rv2499c,-0.050000000000000044,-0.10166666666666668,0.06,0.0,0.0,0.06,0.05083333333333334,0.06,0.06,-0.12416666666666665,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,-0.09666666666666662,-0.09499999999999997,0.06,0.05249999999999999,0.0,-0.07,0.06,-0.10499999999999998,-0.125,0.05083333333333334,0.0,0.06,0.0,0.0,0.0,0.06,0.0,-0.09416666666666668,-0.04083333333333333,-0.1225,0.0,0.0,-0.02999999999999997,-0.10583333333333333,0.0,0.06,-0.10583333333333333,0.0,0.06,0.05083333333333334,-0.04999999999999999,0.05083333333333334,0.05083333333333334,0.05083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041666666666666685,0.0,-0.12416666666666665,0.0,-0.10333333333333333,-0.07583333333333336,-0.14916666666666667,0.0,-0.08250000000000002,0.0,0.05083333333333334,0.06,0.0,0.0,0.0,0.003333333333333355,0.0,0.06,-0.14666666666666667,0.0,-0.02999999999999997,-0.12833333333333335,-0.15249999999999997,0.0,-0.033333333333333326,0.0,0.0,0.0,0.06,0.0,0.0,-0.12666666666666665,0.0,-0.07250000000000001,0.0,-0.12416666666666665,0.06,0.0,-0.10416666666666663
Rv2523c,-0.09833333333333333,-0.031666666666666676,-0.12166666666666665,0.0,-0.04999999999999999,-0.11833333333333335,-0.13166666666666665,-0.09166666666666667,-0.10333333333333333,-0.008333333333333304,0.0050000000000000044,-0.10249999999999998,-0.008333333333333304,-0.0733333333333333,0.0025000000000000022,-0.07166666666666666,-0.065,-0.033333333333333326,-0.1333333333333333,-0.06666666666666665,-0.03416666666666668,-0.11833333333333335,-0.135,-0.09999999999999998,-0.04833333333333334,-0.10249999999999998,-0.03833333333333333,0.0025000000000000022,-0.13166666666666665,-0.010833333333333306,-0.10499999999999998,-0.0683333333333333,-0.1333333333333333,-0.04249999999999998,-0.0633333333333333,-0.008333333333333304,-0.06083333333333335,-0.08583333333333332,-0.012500000000000011,-0.01583333333333331,-0.026666666666666672,-0.13,-0.010833333333333306,-0.0683333333333333,-0.10416666666666669,-0.033333333333333326,-0.057499999999999996,-0.09166666666666667,-0.13166666666666665,-0.10249999999999998,-0.13166666666666665,-0.13166666666666665,-0.13166666666666665,-0.012500000000000011,-0.03833333333333333,-0.034999999999999976,0.0,-0.01416666666666666,-0.06666666666666665,-0.0683333333333333,-0.10249999999999998,-0.07666666666666666,-0.12416666666666665,0.0,-0.06666666666666665,-0.01416666666666666,-0.03749999999999998,-0.0050000000000000044,-0.008333333333333304,-0.07833333333333331,-0.09749999999999998,-0.13166666666666665,-0.10749999999999998,-0.03749999999999998,-0.018333333333333313,-0.026666666666666672,0.04249999999999998,0.0,-0.12166666666666665,-0.012500000000000011,-0.09416666666666668,-0.1333333333333333,0.006666666666666654,-0.014999999999999958,0.0,-0.09749999999999998,-0.019166666666666665,-0.016666666666666663,-0.10083333333333333,-0.10333333333333333,0.0,0.0,0.0,-0.017500000000000016,-0.043333333333333335,-0.012500000000000011,0.015833333333333366,-0.0683333333333333,-0.06916666666666665,-0.008333333333333304
