feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1332--Rv1828--Rv0981,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv3133c,0.0,-0.006666666666666654,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,-0.026666666666666672,0.06333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.008333333333333304,0.0,0.395,-0.03833333333333333,0.0,-0.0016666666666666496,0.0,0.0
Rv3160c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.021666666666666612,0.0,0.30333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.22333333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.275
Rv3164c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,-0.016666666666666663
Rv3167c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3173c,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,0.014999999999999902,-0.003333333333333355,0.0,-0.0050000000000000044,0.03833333333333333,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.21499999999999997,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,-0.0050000000000000044,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,0.0,-0.003333333333333355,0.0,0.0,-0.031666666666666676,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.013333333333333308,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.026666666666666672,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.011666666666666659,0.0,-0.0050000000000000044,0.2716666666666666
Rv3183,0.0,0.0,0.0,-0.010000000000000009,0.036666666666666625,-0.0016666666666666496,0.0,-0.016666666666666663,0.0,0.0,-0.03166666666666673,0.0,0.05666666666666664,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0.03500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.05166666666666664,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,-0.0016666666666666496,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.011666666666666659,0.0,0.03166666666666662,-0.006666666666666654,-0.003333333333333355
Rv3219,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3223c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3246c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.18333333333333335,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.21333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666663,0.0,0.21333333333333337,-0.011666666666666659,0.0,0.0,0.0,-0.0016666666666666496
Rv3249c,0.0,0.30000000000000004,0.0,-0.010000000000000009,-0.006666666666666654,0.0,-0.0050000000000000044,0.33666666666666667,-0.0016666666666666496,0.0,0.011666666666666603,0.31999999999999995,-0.006666666666666654,0.0,0.3666666666666667,0.0,0.3816666666666667,0.0,0.0,-0.03666666666666668,0.0,-0.0050000000000000044,0.0,-0.026666666666666672,-0.015000000000000013,-0.025000000000000022,0.00666666666666671,0.275,0.0,-0.0050000000000000044,-0.013333333333333308,0.0,0.0,0.20666666666666667,-0.015000000000000013,-0.026666666666666672,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,0.0,-0.006666666666666654,0.06166666666666665,0.3916666666666667,0.0,0.0,0.0,0.0,0.3983333333333333,-0.0016666666666666496,-0.0016666666666666496,-0.006666666666666654,0.0,0.0,0.22166666666666668,-0.031666666666666676,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.2733333333333333,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.29500000000000004,0.0,-0.013333333333333308,0.0,0.3666666666666667,0.0,0.0,-0.0050000000000000044,0.02833333333333332,0.0,0.0,0.0,0.0,0.0,0.375,0.16000000000000003,0.0,0.33666666666666667,-0.010000000000000009,0.0,0.021666666666666723,0.0,0.3983333333333333,-0.015000000000000013,-0.03999999999999998,0.3716666666666667,-0.020000000000000018,0.030000000000000027
Rv3260c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.036666666666666625,0.0,-0.00833333333333336,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043333333333333335,0.0,0.0,0.0,-0.02833333333333332
Rv3291c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999907,0.0,0.31833333333333336,0.0,0.3816666666666667,0.0,0.0,0.0,0.0,0.2316666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.2733333333333333
Rv3405c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11499999999999999,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666659,0.0,0.0,0.0,-0.00833333333333336
Rv3414c,0.0,0.0,0.0,-0.009999999999999898,0.028333333333333433,0.0,0.0,-0.026666666666666616,0.0,0.0,-0.06499999999999995,-0.05833333333333324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036666666666666625,0.0,0.0,0.0,0.0,0.0,0.0,-0.10833333333333328,0.0,0.0,0.0,0.0,-0.21166666666666667,0.0,-0.02833333333333332,0.0,0.0,0.0,0.0,-0.036666666666666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09333333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021666666666666612,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,-0.016666666666666607,0.0,-0.1499999999999999
Rv3416,0.0,0.0,0.0,-0.010000000000000009,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,-0.043333333333333335,-0.0050000000000000044,0.265,0.0,0.3466666666666667,0.0,0.0,-0.0016666666666666496,0.0,0.17333333333333334,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,-0.0016666666666666496,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,-0.0016666666666666496,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.20166666666666666,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11333333333333329,0.0,0.0,-0.006666666666666654
Rv3417c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,-0.0050000000000000044,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,-0.021666666666666612,0.0,0.0,0.0,-0.0033333333333332993,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0
Rv3557c,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23333333333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3597c,0.0,0.0,-0.015000000000000013,0.00666666666666671,0.050000000000000044,-0.06333333333333335,0.0,0.0,-0.00666666666666671,0.0,-0.026666666666666616,-0.04166666666666663,0.0,0.0,0.013333333333333308,0.0,0.0,0.0,-0.03500000000000003,-0.11833333333333329,0.0,0.0,0.0,-0.07166666666666666,0.0,0.0,0.0,-0.10833333333333328,0.0,0.0,0.0,0.010000000000000009,-0.15666666666666662,0.0,-0.03166666666666662,0.00666666666666671,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.0050000000000000044,-0.135,0.0,0.0016666666666667052,0.0,0.0,0.0,0.021666666666666723,0.0,0.0,0.0,-0.05833333333333335,0.03500000000000003,-0.03833333333333333,0.0,0.0,0.06833333333333336,-0.015000000000000013,0.0,0.013333333333333308,0.0,0.0,0.0,-0.1316666666666667,0.0,0.0,-0.30999999999999994,0.0,0.0,0.010000000000000009,0.0,-0.020000000000000018,0.0016666666666667052,0.008333333333333304,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.16666666666666663,0.021666666666666723,0.0,0.0,0.0,-0.0050000000000000044,0.0,-0.0033333333333332993,-0.23333333333333328,0.0,0.0,0.0,-0.265,-0.21833333333333338,-0.0033333333333332993,0.0,-0.10499999999999998
Rv3676,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026666666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3830c,0.0,0.0,0.0,0.0,0.4066666666666666,0.0,0.0,0.3783333333333333,0.0,0.0,0.023333333333333317,0.0,0.33499999999999996,0.0,0.41500000000000004,-0.02833333333333332,0.0,0.0,0.0,0.2316666666666667,0.0,0.0,0.0,0.27,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.345,0.0,0.0,-0.00833333333333336,-0.016666666666666663,0.42166666666666663,-0.021666666666666667,0.0,-0.013333333333333308,0.040000000000000036,0.0,0.0,0.030000000000000027,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18999999999999995,-0.016666666666666663,0.32166666666666666,0.0,0.395,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.21333333333333337,0.3983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,0.17000000000000004,-0.0016666666666666496,0.0,0.28500000000000003
Rv3833,0.0,0.0,0.0,-0.04833333333333334,0.17333333333333334,-0.03999999999999998,-0.031666666666666676,-0.031666666666666676,-0.020000000000000018,0.0,0.0,-0.00833333333333336,0.135,0.0,-0.03833333333333333,-0.013333333333333308,-0.03666666666666668,-0.03999999999999998,0.0,0.030000000000000027,-0.003333333333333355,-0.033333333333333326,0.0,0.06333333333333335,-0.020000000000000018,-0.031666666666666676,0.0,-0.03833333333333333,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,-0.03666666666666668,0.0,0.0,-0.03833333333333333,0.0,-0.03666666666666668,0.0,0.0,-0.006666666666666654,-0.018333333333333313,-0.010000000000000009,-0.034999999999999976,-0.03666666666666668,0.0,0.0,0.15500000000000003,0.0,0.0,0.0,0.10333333333333339,0.18833333333333335,-0.021666666666666667,-0.013333333333333308,0.0,-0.010000000000000009,0.0,0.0,-0.05666666666666664,-0.03666666666666668,-0.003333333333333355,0.0,-0.03833333333333333,0.0,-0.015000000000000013,0.0,-0.05833333333333335,0.0,0.0,-0.03666666666666668,0.11499999999999999,-0.021666666666666667,-0.03833333333333333,0.0,-0.003333333333333355,0.0,-0.0050000000000000044,-0.011666666666666659,0.0,0.0,-0.011666666666666659,-0.015000000000000013,-0.043333333333333335,0.0,-0.011666666666666659,0.0,0.0,-0.026666666666666672,0.0,-0.265,0.0,-0.03666666666666668,0.0,0.0,-0.03833333333333333,0.008333333333333304,0.14833333333333332
Rv3849,0.0,-0.018333333333333313,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03833333333333333,0.0,-0.023333333333333317,0.0,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,0.0,0.03833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,0.0,0.0,0.17666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.046666666666666634,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666659,0.0,0.0,0.0,0.0,-0.03999999999999998,0.0,0.0,0.0,0.0,0.11333333333333329,0.0,0.0,-0.21833333333333338,0.0,0.17000000000000004,0.0,0.0,0.17833333333333334,0.0,-0.020000000000000018
Rv3855,0.0,0.0,-0.013333333333333308,-0.0016666666666666496,0.36,0.0,-0.0016666666666666496,-0.013333333333333308,0.0,0.0,0.021666666666666612,0.3516666666666667,0.31999999999999995,0.0,0.3716666666666667,-0.0016666666666666496,-0.0016666666666666496,0.0,0.0,0.22499999999999998,-0.015000000000000013,-0.0016666666666666496,0.0,0.2416666666666667,-0.018333333333333313,-0.0016666666666666496,0.0,0.2866666666666666,0.0,0.0,0.0,0.0,0.0,-0.03666666666666668,0.0,-0.011666666666666659,0.0,0.0,0.0,-0.016666666666666663,0.0,0.0,-0.00833333333333336,0.2683333333333333,-0.021666666666666667,0.0,-0.0016666666666666496,-0.0016666666666666496,-0.018333333333333313,0.31499999999999995,0.0,0.0,0.0,-0.003333333333333355,0.3983333333333333,0.31499999999999995,0.0,-0.010000000000000009,-0.026666666666666672,0.0,-0.0016666666666666496,0.03833333333333333,-0.0016666666666666496,0.0,0.0,-0.023333333333333317,0.0,0.0,-0.01666666666666672,0.0,0.0,0.0,0.0,0.29333333333333333,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.03166666666666662,0.0,0.0,0.0,0.3716666666666667,0.0,0.0,0.0,-0.016666666666666607,0.0,0.0,0.0,-0.0033333333333332993,0.0,-0.0016666666666666496,-0.03833333333333333,0.17833333333333334,0.0,0.05500000000000005,0.2716666666666666
Rv3862c,0.0,0.0,0.0,-0.02833333333333332,0.0,0.0,-0.0050000000000000044,-0.013333333333333308,0.0,0.0,0.0,0.04500000000000004,-0.018333333333333313,0.0,0.07166666666666666,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018333333333333313,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.018333333333333313,-0.0016666666666666496,0.0,-0.010000000000000009,0.0,0.0,-0.0050000000000000044,-0.006666666666666654,0.0,0.0,0.0,-0.020000000000000018,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333304,0.0,0.05500000000000005,0.0,0.021666666666666612
